## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0001225	Hsp26	Hsp26-PA	Hsp26-PB
FBgn0001226	Hsp27	Hsp27-PA	Hsp27-PB
FBgn0001227	Hsp67Ba	Hsp67Ba-PA	
FBgn0001228	Hsp67Bb	Hsp67Bb-PA	Hsp67Bb-PB,Hsp67Bb-PC,Hsp67Bb-PD
FBgn0001229	Hsp67Bc	Hsp67Bc-PA	
FBgn0001230	Hsp68	Hsp68-PA	
FBgn0001233	Hsp83	Hsp83-PA	Hsp83-PB
FBgn0001235	hth	hth-PA	
FBgn0001235	hth	hth-PC	
FBgn0001235	hth	hth-PE	
FBgn0001235	hth	hth-PF	hth-PI
FBgn0001247	Ide	Ide-PB	
FBgn0001248	Idh	Idh-PA	Idh-PF
FBgn0001248	Idh	Idh-PB	Idh-PG,Idh-PI,Idh-PJ
FBgn0001248	Idh	Idh-PC	
FBgn0001248	Idh	Idh-PD	
FBgn0001248	Idh	Idh-PK	
FBgn0001250	if	if-PB	if-PD,if-PF
FBgn0001250	if	if-PC	
FBgn0001253	ImpE1	ImpE1-PA	ImpE1-PC
FBgn0001253	ImpE1	ImpE1-PB	
FBgn0001254	ImpE2	ImpE2-PA	
FBgn0001255	ImpE3	ImpE3-PB	
FBgn0001256	ImpL1	ImpL1-PA	
FBgn0001256	ImpL1	ImpL1-PB	
FBgn0001256	ImpL1	ImpL1-PC	
FBgn0001257	ImpL2	ImpL2-PA	
FBgn0001257	ImpL2	ImpL2-PB	ImpL2-PD
FBgn0001257	ImpL2	ImpL2-PC	
FBgn0001258	ImpL3	ImpL3-PA	ImpL3-PB,ImpL3-PC,ImpL3-PD
FBgn0001259	in	in-PA	
FBgn0001263	inaD	inaD-PA	
FBgn0001263	inaD	inaD-PB	
FBgn0001269	inv	inv-PB	inv-PD,inv-PE
FBgn0001276	ix	ix-PA	
FBgn0001280	janA	janA-PA	janA-PC
FBgn0001280	janA	janA-PB	
FBgn0001281	janB	janB-PA	
FBgn0001285	Jon44E	Jon44E-PA	Jon44E-PB
FBgn0001291	Jra	Jra-PA	Jra-PB
FBgn0001291	Jra	Jra-PC	
FBgn0001296	kar	kar-PA	
FBgn0001296	kar	kar-PB	
FBgn0001297	kay	kay-PA	
FBgn0001297	kay	kay-PB	
FBgn0001297	kay	kay-PD	
FBgn0001297	kay	kay-PF	
FBgn0001297	kay	kay-PG	
FBgn0001301	kel	kel-PA	
FBgn0001301	kel	kel-PB	
FBgn0001308	Khc	Khc-PA	
FBgn0001311	kkv	kkv-PA	kkv-PC
FBgn0001311	kkv	kkv-PD	
FBgn0001313	kl-2	kl-2-PD	
FBgn0001316	klar	klar-PA	
FBgn0001316	klar	klar-PB	
FBgn0001316	klar	klar-PC	
FBgn0001316	klar	klar-PD	
FBgn0001316	klar	klar-PE	
FBgn0001316	klar	klar-PF	
FBgn0001316	klar	klar-PG	
FBgn0001316	klar	klar-PH	
FBgn0001316	klar	klar-PI	
FBgn0001319	kn	kn-PA	
FBgn0001319	kn	kn-PB	
FBgn0001319	kn	kn-PC	
FBgn0001319	kn	kn-PD	
FBgn0001319	kn	kn-PE	
FBgn0001320	kni	kni-PA	
FBgn0001320	kni	kni-PB	
FBgn0001321	knk	knk-PA	
FBgn0001323	knrl	knrl-PA	knrl-PB
FBgn0001324	kto	kto-PA	
FBgn0001324	kto	kto-PB	
FBgn0001325	Kr	Kr-PA	Kr-PB
FBgn0001330	kz	kz-PA	kz-PB
FBgn0001341	l(1)1Bi	l(1)1Bi-PA	
FBgn0001404	egh	egh-PB	egh-PC,egh-PD
FBgn0001491	l(1)10Bb	l(1)10Bb-PA	
FBgn0001565	Hlc	Hlc-PA	Hlc-PB
FBgn0001612	Grip91	Grip91-PA	
FBgn0001624	dlg1	dlg1-PA	
FBgn0001624	dlg1	dlg1-PB	
FBgn0001624	dlg1	dlg1-PC	dlg1-PI,dlg1-PJ
FBgn0001624	dlg1	dlg1-PD	dlg1-PE,dlg1-PN,dlg1-PS
FBgn0001624	dlg1	dlg1-PF	
FBgn0001624	dlg1	dlg1-PG	dlg1-PQ
FBgn0001624	dlg1	dlg1-PH	
FBgn0001624	dlg1	dlg1-PK	
FBgn0001624	dlg1	dlg1-PL	
FBgn0001624	dlg1	dlg1-PM	
FBgn0001624	dlg1	dlg1-PO	
FBgn0001624	dlg1	dlg1-PP	
FBgn0001624	dlg1	dlg1-PR	
FBgn0001624	dlg1	dlg1-PT	
FBgn0001624	dlg1	dlg1-PU	
FBgn0001941	ifc	ifc-PA	
FBgn0001941	ifc	ifc-PB	
FBgn0001942	eIF-4a	eIF-4a-PA	eIF-4a-PB,eIF-4a-PC,eIF-4a-PD,eIF-4a-PE,eIF-4a-PF
FBgn0001961	Arpc1	Arpc1-PA	Arpc1-PB
FBgn0001965	Sos	Sos-PA	
FBgn0001967	NimC3	NimC3-PB	
FBgn0001970	Pgant35A	Pgant35A-PA	
FBgn0001974	l(2)35Bd	l(2)35Bd-PA	
FBgn0001977	CIAPIN1	CIAPIN1-PA	
FBgn0001978	stc	stc-PA	
FBgn0001978	stc	stc-PB	
FBgn0001978	stc	stc-PC	
FBgn0001978	stc	stc-PD	
FBgn0001981	esg	esg-PA	
FBgn0001983	wor	wor-PA	
FBgn0001986	l(2)35Df	l(2)35Df-PA	
FBgn0001987	Gli	Gli-PA	Gli-PC,Gli-PD,Gli-PE,Gli-PF
FBgn0001989	ND-B17	ND-B17-PA	ND-B17-PC
FBgn0001990	wek	wek-PA	wek-PB
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PA	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PB	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PC	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PD	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PE	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PF	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PG	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PH	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PI	
FBgn0001991	Ca-alpha1D	Ca-alpha1D-PJ	
FBgn0001992	Cyp303a1	Cyp303a1-PA	Cyp303a1-PB
FBgn0001994	crp	crp-PA	crp-PB
FBgn0001995	mRpL4	mRpL4-PA	
FBgn0002021	l(2)37Bb	l(2)37Bb-PA	
FBgn0002022	Catsup	Catsup-PA	
FBgn0002023	Lim3	Lim3-PA	
FBgn0002023	Lim3	Lim3-PB	Lim3-PC,Lim3-PD,Lim3-PF
FBgn0002023	Lim3	Lim3-PE	
FBgn0002023	Lim3	Lim3-PG	
FBgn0002031	l(2)37Cc	l(2)37Cc-PA	l(2)37Cc-PB,l(2)37Cc-PD
FBgn0002036	CG10561	CG10561-PA	
FBgn0002044	swm	swm-PA	swm-PB
FBgn0002044	swm	swm-PC	swm-PD
FBgn0002069	Aats-asp	Aats-asp-PA	Aats-asp-PB,Aats-asp-PC
FBgn0002121	l(2)gl	l(2)gl-PA	l(2)gl-PC,l(2)gl-PG,l(2)gl-PH,l(2)gl-PI,l(2)gl-PJ
FBgn0002121	l(2)gl	l(2)gl-PB	
FBgn0002121	l(2)gl	l(2)gl-PD	l(2)gl-PE,l(2)gl-PF
FBgn0002121	l(2)gl	l(2)gl-PK	
FBgn0002174	l(2)tid	l(2)tid-PA	
FBgn0002174	l(2)tid	l(2)tid-PB	
FBgn0002174	l(2)tid	l(2)tid-PC	
FBgn0002174	l(2)tid	l(2)tid-PD	
FBgn0002174	l(2)tid	l(2)tid-PE	
FBgn0002183	dre4	dre4-PA	
FBgn0002183	dre4	dre4-PB	
FBgn0002283	l(3)73Ah	l(3)73Ah-PA	l(3)73Ah-PB
FBgn0002284	Prosbeta6	Prosbeta6-PA	
FBgn0002306	sas	sas-PA	sas-PC
FBgn0002306	sas	sas-PB	sas-PD
FBgn0002354	l(3)87Df	l(3)87Df-PA	
FBgn0002413	dco	dco-PA	dco-PB,dco-PC,dco-PD
FBgn0002431	hyd	hyd-PA	
FBgn0002431	hyd	hyd-PB	
FBgn0002440	l(3)mbn	l(3)mbn-PB	
FBgn0002440	l(3)mbn	l(3)mbn-PD	
FBgn0002440	l(3)mbn	l(3)mbn-PE	
FBgn0002441	l(3)mbt	l(3)mbt-PB	
FBgn0002466	sti	sti-PA	
FBgn0002466	sti	sti-PB	
FBgn0002521	pho	pho-PA	pho-PB
FBgn0002522	lab	lab-PA	
FBgn0002522	lab	lab-PB	
FBgn0002524	lace	lace-PA	lace-PB
FBgn0002525	Lam	Lam-PA	Lam-PB,Lam-PC,Lam-PD
FBgn0002526	LanA	LanA-PA	
FBgn0002531	Lcp1	Lcp1-PA	Lcp1-PB
FBgn0002533	Lcp2	Lcp2-PA	Lcp2-PB
FBgn0002534	Lcp3	Lcp3-PA	Lcp3-PB
FBgn0002535	Lcp4	Lcp4-PA	Lcp4-PB
FBgn0002542	lds	lds-PA	
FBgn0002543	robo2	robo2-PA	
FBgn0002543	robo2	robo2-PB	
FBgn0002552	lin	lin-PA	
FBgn0002561	l(1)sc	l(1)sc-PA	
FBgn0002562	Lsp1alpha	Lsp1alpha-PA	
FBgn0002563	Lsp1beta	Lsp1beta-PA	Lsp1beta-PB
FBgn0002564	Lsp1gamma	Lsp1gamma-PA	
FBgn0002565	Lsp2	Lsp2-PA	Lsp2-PB
FBgn0002566	lt	lt-PA	lt-PE,lt-PF
FBgn0002566	lt	lt-PC	
FBgn0002567	Rab32	Rab32-PB	
FBgn0002567	Rab32	Rab32-PC	Rab32-PE
FBgn0002567	Rab32	Rab32-PD	
FBgn0002567	Rab32	Rab32-PH	Rab32-PJ
FBgn0002567	Rab32	Rab32-PI	
FBgn0002569	Mal-A2	Mal-A2-PA	
FBgn0002570	Mal-A1	Mal-A1-PA	
FBgn0002571	Mal-A3	Mal-A3-PA	
FBgn0002573	sens	sens-PA	
FBgn0002576	lz	lz-PA	
FBgn0002576	lz	lz-PB	
FBgn0002577	m	m-PA	
FBgn0002578	Kaz-m1	Kaz-m1-PA	Kaz-m1-PB
FBgn0002579	RpL36	RpL36-PA	RpL36-PB,RpL36-PC,RpL36-PD,RpL36-PE
FBgn0002590	RpS5a	RpS5a-PA	RpS5a-PB,RpS5a-PC,RpS5a-PD
FBgn0002592	E(spl)m2-BFM	E(spl)m2-BFM-PA	
FBgn0002593	RpLP1	RpLP1-PA	RpLP1-PB
FBgn0002607	RpL19	RpL19-PA	RpL19-PB
FBgn0002609	E(spl)m3-HLH	E(spl)m3-HLH-PA	
FBgn0002622	RpS3	RpS3-PA	RpS3-PB
FBgn0002626	RpL32	RpL32-PA	RpL32-PB,RpL32-PD
FBgn0002626	RpL32	RpL32-PC	
FBgn0002629	E(spl)m4-BFM	E(spl)m4-BFM-PA	
FBgn0002631	E(spl)m5-HLH	E(spl)m5-HLH-PA	
FBgn0002632	E(spl)m6-BFM	E(spl)m6-BFM-PA	
FBgn0002633	E(spl)m7-HLH	E(spl)m7-HLH-PA	
FBgn0002638	Rcc1	Rcc1-PA	Rcc1-PB,Rcc1-PC
FBgn0002641	mal	mal-PA	mal-PB
FBgn0002643	mam	mam-PA	mam-PB,mam-PD
FBgn0002643	mam	mam-PC	
FBgn0002645	Map205	Map205-PA	
FBgn0002645	Map205	Map205-PB	
FBgn0002645	Map205	Map205-PC	
FBgn0002673	twe	twe-PA	twe-PB,twe-PC,twe-PD
FBgn0002707	mei-9	mei-9-PA	mei-9-PB
FBgn0002709	mei-218	mei-218-PB	mei-218-PC,mei-218-PD,mei-218-PE
FBgn0002715	mei-S332	mei-S332-PA	mei-S332-PB
FBgn0002716	mei-W68	mei-W68-PA	
FBgn0002719	Men	Men-PA	
FBgn0002719	Men	Men-PB	
FBgn0002719	Men	Men-PC	
FBgn0002723	Met	Met-PA	Met-PB
FBgn0002732	E(spl)malpha-BFM	E(spl)malpha-BFM-PA	
FBgn0002733	E(spl)mbeta-HLH	E(spl)mbeta-HLH-PA	
FBgn0002734	E(spl)mdelta-HLH	E(spl)mdelta-HLH-PA	
FBgn0002735	E(spl)mgamma-HLH	E(spl)mgamma-HLH-PA	
FBgn0002736	mago	mago-PA	
FBgn0002772	Mlc1	Mlc1-PA	
FBgn0002772	Mlc1	Mlc1-PB	Mlc1-PD
FBgn0002773	Mlc2	Mlc2-PA	
FBgn0002774	mle	mle-PA	
FBgn0002774	mle	mle-PC	
FBgn0002775	msl-3	msl-3-PA	
FBgn0002778	mnd	mnd-PA	mnd-PC,mnd-PD
FBgn0002780	mod	mod-PA	mod-PC
FBgn0002781	mod(mdg4)	mod(mdg4)-PA	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAA	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAB	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAC	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAD	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAE	
FBgn0002781	mod(mdg4)	mod(mdg4)-PAF	
FBgn0002781	mod(mdg4)	mod(mdg4)-PB	
FBgn0002781	mod(mdg4)	mod(mdg4)-PC	
FBgn0002781	mod(mdg4)	mod(mdg4)-PD	
FBgn0002781	mod(mdg4)	mod(mdg4)-PE	
FBgn0002781	mod(mdg4)	mod(mdg4)-PF	
FBgn0002781	mod(mdg4)	mod(mdg4)-PG	
FBgn0002781	mod(mdg4)	mod(mdg4)-PH	
FBgn0002781	mod(mdg4)	mod(mdg4)-PI	
FBgn0002781	mod(mdg4)	mod(mdg4)-PJ	
FBgn0002781	mod(mdg4)	mod(mdg4)-PK	
FBgn0002781	mod(mdg4)	mod(mdg4)-PL	
FBgn0002781	mod(mdg4)	mod(mdg4)-PM	
FBgn0002781	mod(mdg4)	mod(mdg4)-PN	
FBgn0002781	mod(mdg4)	mod(mdg4)-PO	
FBgn0002781	mod(mdg4)	mod(mdg4)-PP	
FBgn0002781	mod(mdg4)	mod(mdg4)-PR	
FBgn0002781	mod(mdg4)	mod(mdg4)-PS	
FBgn0002781	mod(mdg4)	mod(mdg4)-PT	
FBgn0002781	mod(mdg4)	mod(mdg4)-PU	
FBgn0002781	mod(mdg4)	mod(mdg4)-PV	
FBgn0002781	mod(mdg4)	mod(mdg4)-PW	
FBgn0002781	mod(mdg4)	mod(mdg4)-PX	
FBgn0002781	mod(mdg4)	mod(mdg4)-PY	
FBgn0002781	mod(mdg4)	mod(mdg4)-PZ	
FBgn0002783	mor	mor-PA	
FBgn0002783	mor	mor-PB	
FBgn0002787	Rpn8	Rpn8-PA	Rpn8-PC
FBgn0002787	Rpn8	Rpn8-PB	
FBgn0002789	Mp20	Mp20-PA	
FBgn0002789	Mp20	Mp20-PC	
FBgn0002791	mr	mr-PA	
FBgn0002838	ms(3)K81	ms(3)K81-PA	
FBgn0002842	sa	sa-PA	
FBgn0002855	Acp26Aa	Acp26Aa-PA	
FBgn0002856	Acp26Ab	Acp26Ab-PA	Acp26Ab-PB,Acp26Ab-PC
FBgn0002862	Mst87F	Mst87F-PA	Mst87F-PB
FBgn0002863	Acp95EF	Acp95EF-PA	
FBgn0002865	Mst98Ca	Mst98Ca-PA	
FBgn0002868	MtnA	MtnA-PA	MtnA-PB
FBgn0002869	MtnB	MtnB-PA	MtnB-PB,MtnB-PC
FBgn0002872	mu2	mu2-PA	
FBgn0002872	mu2	mu2-PB	
FBgn0002872	mu2	mu2-PC	
FBgn0002873	mud	mud-PF	
FBgn0002873	mud	mud-PG	
FBgn0002873	mud	mud-PH	
FBgn0002873	mud	mud-PI	
FBgn0002873	mud	mud-PJ	
FBgn0002873	mud	mud-PK	
FBgn0002873	mud	mud-PL	
FBgn0002878	mus101	mus101-PA	
FBgn0002887	mus201	mus201-PC	mus201-PD
FBgn0002891	mus205	mus205-PA	
FBgn0002899	mus301	mus301-PA	
FBgn0002901	mus304	mus304-PA	
FBgn0002905	mus308	mus308-PA	
FBgn0002906	Blm	Blm-PA	
FBgn0002909	mus312	mus312-PA	
FBgn0002909	mus312	mus312-PD	
FBgn0002909	mus312	mus312-PE	
FBgn0002914	Myb	Myb-PA	Myb-PB,Myb-PD,Myb-PE
FBgn0002917	na	na-PF	
FBgn0002917	na	na-PG	
FBgn0002921	Atpalpha	Atpalpha-PA	
FBgn0002921	Atpalpha	Atpalpha-PB	Atpalpha-PC,Atpalpha-PE,Atpalpha-PJ,Atpalpha-PK
FBgn0002921	Atpalpha	Atpalpha-PD	
FBgn0002921	Atpalpha	Atpalpha-PF	Atpalpha-PH
FBgn0002921	Atpalpha	Atpalpha-PG	
FBgn0002921	Atpalpha	Atpalpha-PI	
FBgn0002922	nau	nau-PA	
FBgn0002922	nau	nau-PB	
FBgn0002924	ncd	ncd-PA	ncd-PB
FBgn0002926	ndl	ndl-PA	
FBgn0002930	nec	nec-PA	
FBgn0002931	net	net-PB	net-PC
FBgn0002932	neur	neur-PA	
FBgn0002932	neur	neur-PB	
FBgn0002932	neur	neur-PC	neur-PE
FBgn0002932	neur	neur-PD	
FBgn0002933	ng1	ng1-PA	
FBgn0002936	ninaA	ninaA-PA	
FBgn0002937	ninaB	ninaB-PA	
FBgn0002938	ninaC	ninaC-PA	ninaC-PC,ninaC-PD
FBgn0002938	ninaC	ninaC-PB	
FBgn0002939	ninaD	ninaD-PA	
FBgn0002939	ninaD	ninaD-PB	
FBgn0002940	ninaE	ninaE-PA	
FBgn0002941	slou	slou-PA	
FBgn0002941	slou	slou-PB	
FBgn0002945	nkd	nkd-PA	
FBgn0002945	nkd	nkd-PB	
FBgn0002945	nkd	nkd-PC	
FBgn0002948	nod	nod-PA	nod-PB
FBgn0002962	nos	nos-PA	
FBgn0002962	nos	nos-PB	
FBgn0002973	numb	numb-PA	numb-PD
FBgn0002973	numb	numb-PB	
FBgn0002985	odd	odd-PA	
FBgn0002989	okr	okr-PA	
FBgn0003002	opa	opa-PA	
FBgn0003008	or	or-PA	
FBgn0003009	ord	ord-PA	ord-PB
FBgn0003011	ort	ort-PA	
FBgn0003015	osk	osk-PA	
FBgn0003015	osk	osk-PC	
FBgn0003015	osk	osk-PD	
FBgn0003016	osp	osp-PC	
FBgn0003016	osp	osp-PD	
FBgn0003016	osp	osp-PE	
FBgn0003016	osp	osp-PF	
FBgn0003023	otu	otu-PA	otu-PD,otu-PE
FBgn0003023	otu	otu-PB	otu-PC
FBgn0003028	ovo	ovo-PA	
FBgn0003028	ovo	ovo-PB	ovo-PE
FBgn0003028	ovo	ovo-PC	
FBgn0003028	ovo	ovo-PD	
FBgn0003034	SP	SP-PA	
FBgn0003041	pbl	pbl-PA	
FBgn0003041	pbl	pbl-PB	
FBgn0003041	pbl	pbl-PC	
FBgn0003041	pbl	pbl-PD	
FBgn0003041	pbl	pbl-PE	
FBgn0003041	pbl	pbl-PF	
FBgn0003042	Pc	Pc-PA	
FBgn0003044	Pcl	Pcl-PA	Pcl-PB
FBgn0003046	Pcp	Pcp-PA	
FBgn0003048	pcx	pcx-PC	pcx-PF
FBgn0003048	pcx	pcx-PE	
FBgn0003053	peb	peb-PA	peb-PB
FBgn0003057	CG10598	CG10598-PA	CG10598-PC
FBgn0003060	CG9757	CG9757-PA	CG9757-PB
FBgn0003062	Fib	Fib-PA	
FBgn0003065	CG2150	CG2150-PA	
FBgn0003067	Pepck	Pepck-PA	
FBgn0003068	per	per-PA	per-PB
FBgn0003071	Pfk	Pfk-PA	
FBgn0003071	Pfk	Pfk-PB	
FBgn0003071	Pfk	Pfk-PC	
FBgn0003071	Pfk	Pfk-PD	
FBgn0003071	Pfk	Pfk-PE	
FBgn0003074	Pgi	Pgi-PA	Pgi-PB,Pgi-PC
FBgn0003076	Pgm	Pgm-PA	
FBgn0003079	Raf	Raf-PA	Raf-PE
FBgn0003082	phr	phr-PA	
FBgn0003082	phr	phr-PB	
FBgn0003086	Pig1	Pig1-PB	
FBgn0003087	pim	pim-PA	pim-PB
FBgn0003089	pip	pip-PA	
FBgn0003089	pip	pip-PC	
FBgn0003089	pip	pip-PD	
FBgn0003089	pip	pip-PF	
FBgn0003089	pip	pip-PG	
FBgn0003089	pip	pip-PH	
FBgn0003089	pip	pip-PI	
FBgn0003089	pip	pip-PJ	
FBgn0003089	pip	pip-PK	
FBgn0003089	pip	pip-PL	
FBgn0003089	pip	pip-PM	
FBgn0003089	pip	pip-PN	
FBgn0003090	pk	pk-PA	
FBgn0003090	pk	pk-PB	
FBgn0003090	pk	pk-PC	
FBgn0003091	Pkc53E	Pkc53E-PA	Pkc53E-PF
FBgn0003091	Pkc53E	Pkc53E-PB	
FBgn0003091	Pkc53E	Pkc53E-PC	Pkc53E-PE
FBgn0003091	Pkc53E	Pkc53E-PD	
FBgn0003093	Pkc98E	Pkc98E-PA	Pkc98E-PD
FBgn0003093	Pkc98E	Pkc98E-PB	
FBgn0003093	Pkc98E	Pkc98E-PC	
FBgn0003114	plu	plu-PA	
FBgn0003116	pn	pn-PA	
FBgn0003117	pnr	pnr-PA	
FBgn0003117	pnr	pnr-PB	pnr-PD
FBgn0003117	pnr	pnr-PC	
FBgn0003118	pnt	pnt-PB	
FBgn0003118	pnt	pnt-PC	
FBgn0003118	pnt	pnt-PD	
FBgn0003118	pnt	pnt-PE	
FBgn0003124	polo	polo-PA	polo-PB
FBgn0003129	Poxm	Poxm-PC	
FBgn0003130	Poxn	Poxn-PA	Poxn-PB
FBgn0003132	Pp1-13C	Pp1-13C-PA	
FBgn0003134	Pp1alpha-96A	Pp1alpha-96A-PA	Pp1alpha-96A-PB
FBgn0003137	Ppn	Ppn-PC	
FBgn0003137	Ppn	Ppn-PE	
FBgn0003137	Ppn	Ppn-PF	
FBgn0003137	Ppn	Ppn-PG	
FBgn0003139	PpV	PpV-PA	PpV-PB,PpV-PC,PpV-PD
FBgn0003140	PpY-55A	PpY-55A-PA	PpY-55A-PB
FBgn0003141	pr	pr-PC	
FBgn0003145	prd	prd-PA	
FBgn0003145	prd	prd-PB	
FBgn0003149	Prm	Prm-PA	Prm-PB
FBgn0003149	Prm	Prm-PC	Prm-PD
FBgn0003149	Prm	Prm-PE	
FBgn0003159	CG2841	CG2841-PA	CG2841-PB,CG2841-PC,CG2841-PD,CG2841-PE
FBgn0003159	CG2841	CG2841-PF	
FBgn0003162	Pu	Pu-PA	
FBgn0003162	Pu	Pu-PB	
FBgn0003162	Pu	Pu-PC	
FBgn0003165	pum	pum-PA	pum-PC,pum-PD,pum-PG
FBgn0003165	pum	pum-PB	
FBgn0003165	pum	pum-PE	
FBgn0003165	pum	pum-PF	
FBgn0003165	pum	pum-PH	
FBgn0003169	put	put-PA	put-PC
FBgn0003169	put	put-PB	
FBgn0003174	pwn	pwn-PB	
FBgn0003174	pwn	pwn-PC	
FBgn0003175	px	px-PA	
FBgn0003175	px	px-PB	
FBgn0003175	px	px-PD	
FBgn0003175	px	px-PE	
FBgn0003187	qua	qua-PA	
FBgn0003187	qua	qua-PB	
FBgn0003187	qua	qua-PC	
FBgn0003189	r	r-PA	r-PD,r-PE
FBgn0003204	ras	ras-PA	ras-PC,ras-PD,ras-PE
FBgn0003205	Ras85D	Ras85D-PA	
FBgn0003206	Ras64B	Ras64B-PA	
FBgn0003209	raw	raw-PA	raw-PC,raw-PE
FBgn0003209	raw	raw-PB	
FBgn0003209	raw	raw-PD	
FBgn0003210	rb	rb-PA	rb-PC,rb-PD
FBgn0003218	rdgB	rdgB-PA	rdgB-PC,rdgB-PD
FBgn0003218	rdgB	rdgB-PB	rdgB-PF
FBgn0003218	rdgB	rdgB-PE	
FBgn0003218	rdgB	rdgB-PG	
FBgn0003218	rdgB	rdgB-PH	
FBgn0003218	rdgB	rdgB-PI	
FBgn0003218	rdgB	rdgB-PJ	
FBgn0003218	rdgB	rdgB-PK	
FBgn0003227	rec	rec-PA	rec-PB
FBgn0003231	ref(2)P	ref(2)P-PA	ref(2)P-PB
FBgn0003248	Rh2	Rh2-PA	
FBgn0003249	Rh3	Rh3-PA	
FBgn0003250	Rh4	Rh4-PA	
FBgn0003254	rib	rib-PA	rib-PB
FBgn0003254	rib	rib-PC	
FBgn0003255	rk	rk-PA	
FBgn0003256	rl	rl-PA	
FBgn0003256	rl	rl-PC	rl-PD,rl-PE,rl-PI
FBgn0003256	rl	rl-PG	
FBgn0003256	rl	rl-PH	
FBgn0003257	r-l	r-l-PA	
FBgn0003261	Rm62	Rm62-PA	
FBgn0003261	Rm62	Rm62-PB	Rm62-PC,Rm62-PF
FBgn0003261	Rm62	Rm62-PD	Rm62-PH
FBgn0003261	Rm62	Rm62-PE	Rm62-PI
FBgn0003261	Rm62	Rm62-PJ	
FBgn0003261	Rm62	Rm62-PK	
FBgn0003261	Rm62	Rm62-PL	
FBgn0003261	Rm62	Rm62-PM	
FBgn0003267	ro	ro-PA	ro-PB
FBgn0003268	rod	rod-PA	
FBgn0003270	amos	amos-PA	
FBgn0003274	RpLP2	RpLP2-PA	
FBgn0003275	RpII18	RpII18-PA	
FBgn0003277	RpII215	RpII215-PA	
FBgn0003278	RpI135	RpI135-PA	
FBgn0003279	RpL4	RpL4-PA	
FBgn0003285	rst	rst-PA	rst-PB
FBgn0003292	rt	rt-PA	
FBgn0003295	ru	ru-PA	
FBgn0003300	run	run-PA	run-PC
FBgn0003300	run	run-PB	
FBgn0003301	rut	rut-PA	
FBgn0003301	rut	rut-PB	
FBgn0003301	rut	rut-PC	
FBgn0003301	rut	rut-PD	rut-PG
FBgn0003301	rut	rut-PE	
FBgn0003301	rut	rut-PF	
FBgn0003302	rux	rux-PA	rux-PB
FBgn0003308	ry	ry-PA	
FBgn0003310	S	S-PA	S-PB
FBgn0003312	sad	sad-PA	
FBgn0003313	sala	sala-PA	sala-PC
FBgn0003317	sax	sax-PA	
FBgn0003317	sax	sax-PB	
FBgn0003317	sax	sax-PC	
FBgn0003319	Sb	Sb-PA	Sb-PB
FBgn0003321	sbr	sbr-PA	
FBgn0003326	sca	sca-PA	sca-PB
FBgn0003328	scb	scb-PA	
FBgn0003328	scb	scb-PB	
FBgn0003330	Sce	Sce-PA	
FBgn0003334	Scm	Scm-PA	Scm-PB
FBgn0003339	Scr	Scr-PA	Scr-PB
FBgn0003345	sd	sd-PA	sd-PC,sd-PL,sd-PN
FBgn0003345	sd	sd-PB	sd-PE,sd-PF,sd-PG,sd-PK,sd-PR,sd-PS
FBgn0003345	sd	sd-PD	sd-PJ,sd-PO,sd-PP,sd-PU
FBgn0003345	sd	sd-PH	sd-PI,sd-PM
FBgn0003345	sd	sd-PQ	
FBgn0003345	sd	sd-PT	
FBgn0003346	RanGAP	RanGAP-PA	RanGAP-PB
FBgn0003346	RanGAP	RanGAP-PC	
FBgn0003353	sei	sei-PA	sei-PB,sei-PC
FBgn0003356	Jon99Cii	Jon99Cii-PA	
FBgn0003357	Jon99Ciii	Jon99Ciii-PA	Jon99Ciii-PB
FBgn0003358	Jon99Ci	Jon99Ci-PA	
FBgn0003360	sesB	sesB-PA	sesB-PB,sesB-PE
FBgn0003360	sesB	sesB-PC	sesB-PD
FBgn0003366	sev	sev-PA	
FBgn0003371	sgg	sgg-PA	sgg-PJ
FBgn0003371	sgg	sgg-PB	sgg-PC,sgg-PE,sgg-PF,sgg-PH,sgg-PI
FBgn0003371	sgg	sgg-PD	
FBgn0003371	sgg	sgg-PG	
FBgn0003371	sgg	sgg-PK	sgg-PN
FBgn0003371	sgg	sgg-PM	
FBgn0003371	sgg	sgg-PO	
FBgn0003371	sgg	sgg-PP	
FBgn0003371	sgg	sgg-PQ	
FBgn0003371	sgg	sgg-PR	
FBgn0003372	Sgs1	Sgs1-PA	
